GEO.id2,HC01_VC03,HC01_VC27,HC01_VC74,HC01_VC85,HC01_VC86
Id2,Estimate; EMPLOYMENT STATUS - Population 16 years and over,Estimate; COMMUTING TO WORK - Workers 16 years and over,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
2149,35625,22962,15521,57143,70593
2150,29882,19570,12714,51875,65357
2151,44647,28094,19986,53771,70175
2152,15381,9900,7747,69928,90939
2155,52310,33174,22474,86459,106304
2163,2476,513,528,64000,68432
2169,48048,30803,24770,67028,83159
2170,17105,11095,7766,82159,95562
2171,15836,10417,7631,78839,99571
2176,23028,15755,11481,93434,118385
2180,18419,12142,9062,90320,107055
2184,29587,18679,14017,88993,105313
2186,21294,13617,8970,126000,160598
2188,12843,8229,6296,81040,95567
2189,12510,7832,6179,58674,82357
2190,14275,9214,7038,85053,101516
2191,6805,4410,3501,73948,90690
2199,1102,662,743,82238,165278
2203,27,0,27,-,N
2210,2456,2144,1543,170152,212297
2215,24518,12145,7463,43403,72124
2301,46966,27552,21042,47724,63729
2302,26545,16603,11158,63718,73776
2322,3795,2500,1574,69709,89645
2324,23413,14204,7897,88640,112490
2330,9459,5834,4460,73904,87007
2332,12042,6936,5427,123613,155330
2333,11208,7353,4854,86568,99518
2338,6387,4285,2850,77993,89837
2339,11079,6897,4980,111311,137750
2341,8810,5919,3720,96389,106795
2343,9193,5363,4257,67589,85829
2346,20083,12347,9078,79811,93496
2347,9204,6151,3956,97990,116095
2351,13441,9240,6236,91643,100840
2356,10236,6958,4395,113783,138926
2357,1178,502,24,-,N
2359,14710,10365,6464,101447,112799
2360,48779,29807,22468,83746,104522
2364,10484,6843,4758,89796,101968
2366,195,0,0,-,-
2367,2393,1417,1005,87438,110579
2368,28348,17105,12226,70163,88130
2370,14737,9796,6853,77573,90020
2375,8051,5432,3656,94457,112121
2379,5814,3493,2469,85368,97336
2382,11967,8291,5380,79705,92853
2420,11430,6825,5058,168065,212481
2421,14397,8812,6697,158554,206365
2445,16652,11531,8473,111642,163850
2446,26171,17152,13301,102342,138263
2451,15945,10977,7346,94886,111256
2452,13801,7819,5112,87055,105988
2453,25099,16634,11244,73042,89278
2457,1680,646,0,-,-
2458,10227,6807,4942,103978,165113
2459,15639,9381,6680,169963,226215
2460,7792,5268,3722,118148,163483
2461,5837,3903,2683,159517,192447
2462,1298,773,612,104375,164574
2464,2606,1714,1247,102946,125715
2465,9388,5990,4296,137438,200879
2466,7026,4169,2820,115345,148895
2467,18844,9618,6181,119964,184485
2468,4271,2926,1924,212394,277335
2472,29822,21016,15233,92959,111543
2474,22506,15634,11400,104583,130944
2476,13841,9049,7232,101713,131636
2478,20294,13032,9708,118342,161082
2481,12094,6785,4736,187819,294483
2482,8518,4860,3922,160644,228233
2492,15526,9495,7063,147375,213669
2493,9072,4939,3764,196651,307984
2494,7846,5042,3589,126866,174952
2532,11301,6805,5685,75502,90854
2534,740,521,277,88844,97903
2535,1361,779,468,79792,137213
2536,16163,9124,8094,67880,87417
2537,5150,3180,2430,95966,117953
2538,3067,2040,1440,67993,68527
2539,3703,2183,1597,75404,125296
2540,7424,3602,3974,70758,96055
2542,572,358,278,48750,60651
2543,756,436,432,92188,184355
2553,35,0,35,-,N
2554,8648,6061,3651,92327,126748
2556,2728,1307,1383,83659,113116
2557,3534,2184,1684,66091,90920
2558,670,415,464,33679,62757
2559,3560,1823,1818,71741,93285
2561,290,203,170,-,48950
2562,2554,1619,1244,86310,108935
2563,8272,4877,3854,84087,105284
