Zip_code,,POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
14840,"MUSKEGON,MI",189610-201512,25.8,15.9,9.5,2,0.1,0,0,0,0,0.4,6.6,19.5,79.8
14847,"SAULT STE. MARIE,MI",194801-201512,30.5,19.5,14.3,5.9,0.4,0,0,0,0.1,2,15.4,30.2,118.3
14913,"DULUTH,MN",194801-201512,17.4,12.5,14.2,7.6,0.7,0,0,0,0.1,1.7,12,16.9,83.1
14918,"INTERNATIONAL FALLS,MN",190709-201512,13.5,10.1,8.9,5.9,0.6,0,0,0,0.1,1.9,11,12.7,64.7
14922,"MINNEAPOLIS-ST.PAUL,MN",193805-201512,10.3,8.4,10.3,2.7,0.1,0,0,0,0,0.5,7,10.1,49.4
14925,"ROCHESTER,MN",189301-201512,9.8,8,9.1,2.8,0.2,0,0,0,0,0.5,4.8,9.6,44.8
14926,"SAINT CLOUD,MN",190412-201512,9,7.6,9.2,3,0.1,0,0,0,0,0.6,6.9,8.3,44.7
3940,"JACKSON,MS",195101-201512,0.4,0.3,0.1,0,0,0,0,0,0,0,0,0.2,1
13865,"MERIDIAN,MS",194406-201512,0.4,0.1,0.1,0,0,0,0,0,0,0,0,0.3,0.9
93862,"TUPELO,MS",196212-201512,0.9,0.6,0.4,0,0,0,0,0,0,0,0,0.3,2.2
3945,"COLUMBIA,MO",196911-201512,6.1,6.2,2.8,0.5,0,0,0,0,0,0,1.5,4.3,21.4
3947,"KANSAS CITY,MO",197210-201512,5.3,5.8,2.4,0.5,0,0,0,0,0,0.2,1.1,4.4,19.7
13994,"ST. LOUIS,MO",193805-201512,5.6,4.5,3.8,0.4,0,0,0,0,0,0,1.2,3.7,19.2
13995,"SPRINGFIELD,MO",194008-201512,4.6,4.2,3.2,0.3,0,0,0,0,0,0,1.3,3.3,16.9
24033,"BILLINGS,MT",194801-201512,10.5,7.7,9.9,8.2,1.6,0,0,0,1,4,6.8,9.1,58.8
94008,"GLASGOW,MT",194801-201512,8.3,4.9,4.7,3,0.8,0,0,0,0.2,1.3,4.2,6.7,34.1
24143,"GREAT FALLS,MT",193704-201512,9.7,8.7,10.5,7.9,1.9,0.3,0,0.1,1.1,3.4,7.7,9.1,60.4
94012,"HAVRE,MT",196102-201512,8.9,5.7,6.6,4.7,1,0,0,0,0.2,1.6,5.1,7.7,41.5
24144,"HELENA,MT",193905-201512,8.3,6.3,6.6,4.4,1.1,0.1,0,0.1,1.2,1.9,6.2,7.6,43.8
24146,"KALISPELL,MT",189905-201512,15.4,10,6.7,2.1,0.6,0.1,0,0,0.1,1.4,9,15.2,60.6
24153,"MISSOULA,MT",194801-201512,12,7.9,6,1.9,0.6,0,0,0,0,0.7,5.6,10.9,45.6
14935,"GRAND ISLAND,NE",193804-201512,6.1,6.3,5.6,1.7,0.1,0,0,0,0.1,0.5,3,5.8,29.2
14939,"LINCOLN,NE",194801-201512,6.4,6,4.8,1.2,0.1,0,0,0,0,0.5,2.2,5.7,26.9
14941,"NORFOLK,NE",194601-201512,6.1,5.7,5.8,2,0,0,0,0,0,0.5,3.5,6.2,29.8
24023,"NORTH PLATTE,NE",194801-201512,5.2,5.4,6,3,0.2,0,0,0,0.1,1.6,3.5,4.7,29.7
14942,"OMAHA,NE",194801-201512,7,6.8,5.8,0.8,0.1,0,0,0,0,0.3,2.4,5.9,29.1
24028,"SCOTTSBLUFF,NE",189301-201512,5.2,5.8,7.5,5,1,T,0,0,0.3,2.5,4.8,6.3,38.4
24032,"VALENTINE,NE",194801-201512,4.3,5.9,7.3,4.2,0.3,0,0,0,0.3,1.1,4.5,5.1,33
24121,"ELKO,NV",188804-201512,10.1,6.6,5.6,2.4,0.6,0,0,0,0,0.7,3.9,8.8,38.7
23154,"ELY,NV",189301-201512,9,8.2,9.7,6.2,2.4,0.1,0,0,0.3,2.2,5.3,8.1,51.5
